year,pos,league,team,round,stage
1952,12,BIRMINGHAM AND DISTRICT LEAGUE,BRUSH SPORTS,FIRST ROUND PROPER,8
1952,19,CHESHIRE COUNTY LEAGUE,BUXTON,FIRST ROUND PROPER,8
1952,4,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1952,16,SOUTHERN LEAGUE,TONBRIDGE ANGELS,FIRST ROUND PROPER,8
1952,11,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8
1952,2,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1953,8,LANCASHIRE COMBINATION - FIRST DIVISION,ASHTON UNITED,FIRST ROUND PROPER,8
1953,16,SOUTHERN LEAGUE,TONBRIDGE ANGELS,FIRST ROUND PROPER,8
1953,14,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1954,2,SOUTHERN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1954,10,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1954,14,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1954,19,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1954,4,SOUTHERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8
1954,6,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1955,3,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1955,10,SOUTHERN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1955,22,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1956,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1956,14,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1956,4,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1956,3,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1956,6,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1957,4,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,BURTON ALBION,FIRST ROUND PROPER,8
1957,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1957,13,METROPOLITAN LEAGUE,DUNSTABLE TOWN,FIRST ROUND PROPER,8
1957,2,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
